Station code,Location,State or province,Opened
PIT,Pittsfield,MA,1975
PLO,Plano,IL,1913
PLB,Plattsburgh,NY,1886
POS,Pomona,CA,1940
PON,Pontiac,IL,—
PNT,Pontiac,MI,1983
PBF,Poplar Bluff,MO,1910
POH,Port Henry,NY,1888
PTH,Port Huron,MI,1979
POG,Portage,WI,—
POR,Portland,ME,2001
PDX,Portland,OR,1896
POU,Poughkeepsie,NY,1918
PRC,Prince,WV,1886
PCT,Princeton,IL,1911
PJC,West Windsor,NJ,1864
PVD,Providence,RI,1986
PRO,Provo,UT,2002
PUR,Purcell,OK,2001
QAN,Quantico,VA,1971
QCY,Quincy,IL,1985
RGH,Raleigh,NC,2018
RPH,Randolph,VT,"1848, 1996"
RTL,Rantoul,IL,—
RAT,Raton,NM,1903
RDW,Red Wing,MN,1905
RDD,Redding,CA,1923
RNO,Reno,NV,1926
REN,Rensselaer,IN,1981
RHI,Rhinecliff,NY,1914
RIC,Richmond,CA,1978
RVM,Richmond,VA,2003
RVR,Dumbarton,VA,1975
RIV,Riverside,CA,2002
RNK,Roanoke,VA,1975
ROC,Rochester,NY,1914
RLN,Rocklin,CA,—
RMT,Rocky Mount,NC,1893
RKV,Rockville,MD,1984
ROM,Rome,NY,1914
RSV,Roseville,CA,1994
RSP,Rouses Point,NY,1889
RTE,Westwood,MA,1953
ROY,Royal Oak,MI,—
RUG,Rugby,ND,1907
RUD,Rutland,VT,1996
SAO,Saco,ME,2001
SAC,Sacramento,CA,1926
SLM,Salem,OR,1918
SNS,Salinas,CA,—
SAL,Salisbury,NC,1908
SLC,Salt Lake City,UT,1999
SAS,San Antonio,TX,1998
SNB,San Bernardino,CA,1971
SNP,San Clemente,CA,—
SAN,San Diego,CA,1971
OLT,San Diego,CA,1994
SJC,San Jose,CA,1935
SNC,San Juan Capistrano,CA,1974
SLO,San Luis Obispo,CA,1943
SMC,San Marcos,TX,—
SND,Sanderson,TX,1882
SPT,Sandpoint,ID,—
SKY,Sandusky,OH,1892
SFA,Sanford,FL,1983
SNA,Santa Ana,CA,1985
SBA,Santa Barbara,CA,1902
SCC,Santa Clara,CA,2012
GAC,Santa Clara,CA,1993
SAR,Saratoga Springs,NY,1959
SAV,Savannah,GA,1962
SDY,Schenectady,NY,1979
SCH,Schriever,LA,1975
SEA,Seattle,WA,1906
SBG,Sebring,FL,1924
SED,Sedalia,MO,1886
SSM,Selma,NC,1867
SBY,Shelby,MT,—
SIM,Simi Valley,CA,1986
SDL,Slidell,LA,1913
SOL,Solana Beach,CA,1994
SOB,South Bend,IN,1970
SPM,South Shore,KY,1976
SOP,Southern Pines,NC,1898
SPB,Spartanburg,SC,1904
SPK,Spokane,WA,1891
SPI,Springfield,IL,1895
SPG,Springfield,MA,"1973, 1994"
SAB,St. Albans,VT,1972
SCA,St. Catherines,ON,1853
SCD,St. Cloud,MN,1909
SJM,St. Joseph,MI,1913
SLQ,Saint-Lambert,QC,2000
STL,St. Louis,MO,2008
MSP,St. Paul,MN,2011
STM,Stamford,CT,1849
STN,Stanley,ND,—
STW,Stanwood,WA,2009
SPL,Staples,MN,1909
STA,Staunton,VA,—
SKT,Stockton,CA,1930
SKN,Stockton,CA,1900
SVT,Sturtevant,WI,2006
SUI,Suisun City,CA,1904
SMT,Summit,IL,2014
SYR,Syracuse,NY,1998
TAC,Tacoma,WA,2021
TPA,Tampa,FL,1912
TAY,Taylor,TX,—
